Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Tenure_Years,Loan_Status,Disbursed_Date
L00167,C11125,B03,Home Loan,1816191,13.8,21,Closed,2024-06-07
L00168,C14939,B04,Car Loan,4794422,9.8,15,Active,2022-04-08
L00169,C06436,B01,Education Loan,668893,12.8,22,Closed,2024-05-27
L00170,C03861,B04,Education Loan,459628,12.0,4,Closed,2024-03-29
L00171,C18691,B01,Home Loan,2043440,12.4,6,Active,2023-08-08
L00172,C01938,B04,Personal Loan,4522440,11.7,15,Closed,2022-09-01
L00173,C11024,B05,Home Loan,1814853,7.6,6,Active,2024-02-23
L00174,C03554,B04,Personal Loan,3668144,9.8,24,Default,2023-10-07
L00175,C13079,B04,Education Loan,3299364,15.3,12,Active,2023-03-31
L00176,C07503,B05,Personal Loan,559087,11.1,12,Default,2022-11-15
L00177,C01521,B03,Car Loan,4324479,10.2,12,Delayed,2023-03-15
L00178,C03348,B04,Car Loan,768079,7.7,11,Active,2022-05-22
L00179,C09754,B03,Education Loan,4089042,10.7,27,Active,2024-03-12
L00180,C02894,B03,Education Loan,99999999,9.4,13,Default,
L00181,C11590,B01,Car Loan,3717828,11.9,14,Closed,2024-01-23
L00182,C16014,B01,Personal Loan,4497027,13.4,18,Active,2023-10-04
L00183,C05809,B03,Car Loan,4989530,8.0,19,Closed,2022-02-06
L00184,C18741,B02,Home Loan,99999999,13.6,30,Active,2022-10-01
L00185,C14716,B05,Personal Loan,409295,7.7,5,Closed,2024-02-04
L00186,C01708,B05,Personal Loan,362359,13.3,9,Closed,2022-09-12
L00187,C09332,B03,Personal Loan,3989835,8.8,30,Default,2022-10-25
L00188,C11079,B04,Education Loan,2437727,10.5,20,Active,2024-01-15
L00189,C11227,B03,Education Loan,825486,8.5,13,Active,2022-11-08
L00190,C09211,B02,Car Loan,1484880,12.2,20,Closed,2022-07-02
L00191,C07219,B02,Personal Loan,3118916,14.2,22,Active,2023-06-09
L00192,C11379,B02,Car Loan,652174,12.3,21,Active,2022-11-25
L00193,C13531,B01,Personal Loan,4093586,15.2,19,Delayed,2023-01-21
L00194,C16958,B01,Car Loan,3966542,7.8,25,Closed,2024-02-28
L00195,C02064,B02,Education Loan,3374683,10.5,15,Active,2022-11-04
L00196,C02773,B05,Home Loan,2843374,10.7,11,Closed,2023-01-17
L00197,C10125,B01,Personal Loan,749862,10.2,4,Active,2024-05-26
L00198,C08483,B03,Car Loan,2123200,11.1,7,Delayed,2022-05-25
L00199,C17913,B03,Car Loan,1082503,12.4,10,Closed,2022-04-09
L00200,C11474,B04,Car Loan,2930163,9.1,16,Active,2024-02-12
L00201,C04704,B05,Home Loan,4457614,9.2,23,Active,2022-10-09
L00202,C17007,B02,Home Loan,4441096,8.7,28,Active,2022-08-22
L00203,C17369,B02,Car Loan,4571312,10.0,12,Active,2023-09-05
L00204,C00818,B03,Home Loan,1846448,13.0,15,Delayed,2022-08-11
L00205,C17702,B05,Personal Loan,3782979,11.9,21,Closed,2022-04-30
L00206,C07274,B03,Personal Loan,2343922,9.9,16,Closed,2024-01-09
L00207,C04609,B01,Education Loan,1609181,15.7,19,Default,2022-06-05
L00208,C02307,B03,Education Loan,3860510,12.9,12,Closed,2023-03-24
L00209,C01615,B03,Personal Loan,1402229,9.8,11,Active,2023-08-17
L00210,C01196,B05,Personal Loan,3315779,7.9,29,Default,2023-11-20
L00211,C15289,B04,Personal Loan,545996,9.5,7,Default,2022-03-18
L00212,C18088,B04,Home Loan,3074410,11.6,16,Active,2023-02-05
L00213,C19172,B02,Home Loan,2445813,9.3,8,Active,2023-05-29
L00214,C10206,B04,Personal Loan,556900,10.2,30,Active,2023-07-20
L00215,C05115,B01,Personal Loan,2094161,15.9,21,Active,2022-07-19
L00216,C17776,B01,Home Loan,4576619,15.5,17,Delayed,2022-11-11
L00217,C18261,B02,Personal Loan,1376326,11.8,17,Active,2022-06-04
L00218,C08021,B03,Car Loan,2082383,14.6,29,Active,2022-11-03
L00219,C04164,B01,Personal Loan,3321023,9.9,17,Active,2022-10-04
L00220,C16787,B03,Personal Loan,810249,13.8,15,Active,2022-12-02
L00221,C07187,B05,Car Loan,1193992,15.1,27,Active,2024-04-19
L00222,C10733,B02,Education Loan,1700902,14.6,3,Delayed,2023-06-13
L00223,C17719,B01,Car Loan,626767,12.9,3,Closed,2023-11-03
L00224,C03328,B02,Car Loan,2466623,14.5,12,Default,2023-03-05
L00225,C06082,B01,Personal Loan,2275193,7.6,18,Closed,2023-02-08
L00226,C04235,B04,Education Loan,1050712,10.8,12,Active,2022-02-05
L00227,C15114,B04,Car Loan,3689894,14.0,19,Default,2023-01-11
L00228,C02349,B02,Home Loan,2911169,11.0,26,Delayed,2022-05-05
L00229,C02940,B02,Personal Loan,1082954,9.1,20,Active,2023-04-28
L00230,C06614,B02,Car Loan,1480205,-1.0,26,Active,2022-06-16
L00231,C07576,B02,Car Loan,3021639,12.7,20,Default,2023-06-02
L00232,C14905,B04,Personal Loan,1601852,12.0,28,Active,2023-10-27
L00233,C18815,B02,Home Loan,619589,10.4,11,Actve,2023-12-02
L00234,C11895,B02,Education Loan,3903729,8.3,9,Actve,2023-01-25
L00235,C04526,B05,Home Loan,1489655,14.8,7,Active,2022-07-28
L00236,C13222,B04,Personal Loan,3274177,9.2,23,Active,2022-05-26
L00237,C14035,B05,Car Loan,4207619,12.9,27,Delayed,2023-05-25
L00238,C01689,B02,Car Loan,514933,10.0,16,Active,2023-03-12
L00239,C18392,B05,Home Loan,904818,9.5,25,Active,2022-11-21
L00240,C10225,B02,Car Loan,1468516,11.3,6,Default,
L00241,C15700,B02,Car Loan,3397684,13.7,13,Delayed,2022-03-17
L00242,C01026,B05,Home Loan,233260,9.5,18,Active,2023-06-30
L00243,C18960,B02,Personal Loan,268549,8.3,4,Active,2022-12-21
L00244,C19447,B05,Personal Loan,4102164,11.6,3,Delayed,2022-02-23
L00245,C18875,B05,Personal Loan,2835047,12.2,12,Active,2023-08-24
L00246,C10581,B05,Home Loan,822885,13.1,22,Active,2022-11-25
L00247,C02273,B05,Personal Loan,1363608,11.3,29,Active,2023-10-22
L00248,C09030,B05,Education Loan,2788241,10.8,25,Delayed,2024-05-24
L00249,C12034,B02,Personal Loan,1267972,8.8,27,Closed,2024-04-16
L00250,C08970,B03,Car Loan,821249,10.1,23,Active,2024-03-15
L00251,C08538,B03,Home Loan,2620493,9.6,21,Closed,2022-02-02
L00252,C07000,B02,Car Loan,570403,8.6,13,Active,2022-03-12
L00253,C13655,B02,Car Loan,4940987,15.6,27,Active,2022-01-11
L00254,C11456,B05,Education Loan,3764021,9.1,14,Active,2023-01-16
L00255,C14851,B01,Car Loan,1324739,-1.0,18,Active,2023-05-29
L00256,C01602,B01,Personal Loan,4770787,10.9,22,Active,2023-07-21
L00257,C04905,B03,Car Loan,2848571,12.2,20,Active,2023-09-04
L00258,C17577,B04,Home Loan,1425906,12.5,7,Closed,2022-05-23
L00259,C15998,B05,Car Loan,2019730,11.9,10,Active,2022-08-27
L00260,C13475,B04,Personal Loan,3909507,10.3,8,Active,2022-06-13
L00261,C08185,B05,Education Loan,3535382,10.4,17,Active,2023-05-07
L00262,C08559,B01,Education Loan,2019240,8.9,23,Delayed,2022-10-31
L00263,C13135,B01,Home Loan,4662195,11.0,29,Closed,2023-02-23
L00264,C15428,B03,Personal Loan,537181,10.6,7,Active,2023-06-14
L00265,C08555,B02,Car Loan,2227094,15.9,11,Closed,2023-10-08
L00266,C17952,B05,Home Loan,1500701,-1.0,19,Active,2023-06-21
L00267,C06923,B01,Education Loan,4561604,12.4,30,Active,2024-06-16
L00268,C06409,B02,Home Loan,1118573,15.9,6,Default,2022-11-21
L00269,C13878,B02,Personal Loan,4601024,15.4,3,Closed,2023-12-23
L00270,C15811,B03,Education Loan,3767226,13.4,13,Active,2024-04-28
L00271,C10839,B02,Education Loan,4383041,10.9,7,Closed,2024-05-31
L00272,C19034,B05,Car Loan,2014960,13.7,15,Active,2022-05-31
L00273,C17059,B01,Home Loan,1390114,15.5,27,Closed,2022-02-05
L00274,C04144,B01,Car Loan,1067029,12.1,26,Closed,2024-02-16
L00275,C15721,B05,Education Loan,3567081,10.4,28,Active,2023-09-21
L00276,C16213,B03,Personal Loan,678655,7.6,14,Closed,2023-09-03
L00277,C17367,B05,Education Loan,1824238,11.8,26,Active,2023-11-20
L00278,C10509,B03,Personal Loan,2319085,8.3,19,Active,2023-10-26
L00279,C15316,B05,Education Loan,1108776,10.2,25,Active,2022-07-16
L00280,C14480,B03,Personal Loan,2376090,12.8,8,Active,2023-05-30
L00281,C18337,B04,Home Loan,2414837,-1.0,22,Delayed,2023-05-23
L00282,C05937,B05,Home Loan,940998,9.4,18,Active,2024-03-28
L00283,C03134,B04,Personal Loan,2510311,12.5,18,Active,2022-12-17
L00284,C15330,B02,Education Loan,2892189,8.1,16,Closed,2022-11-03
L00285,C12810,B04,Car Loan,3302649,15.4,27,Active,2023-01-09
L00286,C19530,B02,Home Loan,1417412,15.9,16,Active,2023-10-17
L00287,C01649,B04,Personal Loan,1741536,15.9,20,Active,2022-03-09
L00288,C00696,B04,Personal Loan,4664253,7.6,27,Delayed,2023-11-17
L00289,C09993,B01,Home Loan,584601,7.5,26,Delayed,2022-10-06
L00290,C12145,B02,Personal Loan,1623699,8.4,25,Active,2022-01-01
L00291,C17227,B01,Car Loan,1590182,15.3,14,Active,2023-08-29
L00292,C13367,B01,Home Loan,1351527,14.9,21,Delayed,2022-05-02
L00293,C14512,B03,Home Loan,4128999,7.7,13,Default,2022-11-13
L00294,C07759,B02,Personal Loan,4499169,8.1,29,Active,2022-02-11
L00295,C11659,B04,Car Loan,4345504,10.1,30,Active,2024-06-12
L00296,C02809,B02,Home Loan,99999999,9.9,22,Active,2023-07-01
L00297,C13880,B01,Education Loan,534106,7.5,19,Delayed,2022-12-13
L00298,C02808,B01,Car Loan,4418098,8.2,30,Default,2022-06-16
L00299,C03466,B03,Car Loan,1174950,13.3,20,Delayed,2023-07-02
L00300,C03317,B01,Personal Loan,4018483,12.5,25,Active,2023-03-11
L00301,C18617,B05,Education Loan,488016,10.5,13,Delayed,2024-02-15
L00302,C03477,B04,Education Loan,3103140,9.6,28,Default,2023-05-14
L00303,C04250,B01,Home Loan,2599082,-1.0,21,Active,2022-04-11
L00304,C19911,B05,Car Loan,4372443,12.9,12,Active,2023-06-14
L00305,C03340,B02,Personal Loan,1030835,10.1,18,Active,2024-05-15
L00306,C10877,B05,Personal Loan,573347,8.6,9,Active,2024-01-23
L00307,C02801,B05,Home Loan,3935605,15.3,13,Delayed,2023-11-07
L00308,C08954,B02,Car Loan,2020546,8.5,25,Active,2023-10-13
L00309,C18725,B02,Home Loan,4145237,14.6,24,Closed,2023-03-02
L00310,C06575,B01,Home Loan,1559637,12.3,13,Active,2023-01-16
L00311,C09218,B01,Education Loan,2588176,11.5,21,Default,2022-11-24
L00312,C17524,B03,Education Loan,2814413,9.7,11,Closed,2024-01-17
L00313,C10662,B04,Home Loan,2433824,13.4,23,Active,2023-03-22
L00314,C18972,B03,Education Loan,3199612,11.7,20,Active,2024-03-01
L00315,C07581,B05,Car Loan,2774477,8.4,25,Closed,2022-06-15
L00316,C04633,B01,Education Loan,2250387,14.5,4,Active,2023-02-06
L00317,C00546,B02,Education Loan,1351472,13.3,7,Active,2024-03-07
L00318,C07909,B05,Car Loan,1030242,14.0,23,Active,2022-10-31
L00319,C01334,B02,Home Loan,3525016,9.4,14,Closed,2022-09-18
L00320,C11519,B02,Home Loan,4542123,10.2,5,Active,2023-01-04
L00321,C00316,B03,Education Loan,3446477,10.3,23,Active,2022-12-22
L00322,C02057,B02,Education Loan,911391,8.9,6,Active,2022-02-25
L00323,C10780,B03,Home Loan,885894,15.0,23,Closed,2024-05-26
L00324,C12153,B04,Education Loan,2151935,10.6,7,Active,2024-02-09
L00325,C03870,B05,Car Loan,1673975,10.1,3,Active,2023-07-07
L00326,C14851,B03,Home Loan,1256717,11.5,30,Active,2023-01-04
L00327,C08043,B05,Personal Loan,2491416,15.6,18,Active,2022-02-19
L00328,C03743,B02,Personal Loan,2555862,10.6,3,Delayed,2024-03-05
L00329,C09207,B05,Home Loan,4575000,15.4,27,Active,2023-06-13
L00330,C18458,B05,Personal Loan,3949627,15.4,5,Active,2022-01-16
L00331,C10652,B02,Personal Loan,981018,10.2,15,Active,2022-05-27
L00332,C17094,B01,Car Loan,2971168,12.5,10,Active,2023-01-27
L00333,C17857,B04,Education Loan,548564,13.0,10,Delayed,2023-05-25
L00334,C04527,B01,Car Loan,4972039,9.9,28,Active,2023-11-05
L00335,C00865,B04,Car Loan,838873,15.9,17,Closed,2023-10-08
L00336,C13419,B03,Personal Loan,4754811,12.6,13,Active,2022-04-12
L00337,C09885,B03,Personal Loan,1325310,13.6,20,Delayed,2023-01-12
L00338,C07196,B04,Education Loan,99999999,13.4,29,Active,2022-02-04
L00339,C02638,B04,Car Loan,3129575,9.4,10,Closed,2024-03-03
L00340,C02951,B04,Home Loan,2858192,12.5,7,Closed,2022-01-29
L00341,C18531,B03,Personal Loan,99999999,14.8,16,Active,2023-07-11
L00342,C02866,B04,Education Loan,3682139,14.0,8,Active,2023-08-02
L00343,C18350,B04,Personal Loan,361767,11.4,13,Closed,2022-07-11
L00344,C05308,B03,Personal Loan,2700092,12.1,4,Default,2022-08-26
L00345,C02799,B04,Personal Loan,4468716,13.0,12,Active,2024-04-21
L00346,C10400,B01,Car Loan,3802918,10.7,7,Active,2023-10-30
L00347,C02348,B01,Home Loan,772121,10.3,11,Active,2022-04-30
L00348,C05451,B01,Education Loan,995580,11.3,27,Default,2022-12-01
L00349,C02198,B04,Personal Loan,1773333,16.0,3,Active,2024-05-04
L00350,C00396,B04,Education Loan,3696062,13.4,15,Default,2022-06-15
L00351,C01962,B01,Personal Loan,99999999,8.6,5,Closed,2023-10-02
L00352,C19368,B01,Car Loan,3090330,8.6,20,Delayed,2023-07-05
L00353,C03162,B02,Car Loan,4014581,8.7,19,Active,2023-03-24
L00354,C04426,B04,Home Loan,3566627,15.0,10,Active,2022-12-18
L00355,C03114,B03,Car Loan,4578071,8.7,20,Closed,2022-08-27
L00356,C01504,B04,Home Loan,4358274,11.3,8,Closed,2023-03-07
L00357,C03271,B05,Car Loan,3902982,13.0,30,Active,2022-12-06
L00358,C02057,B03,Education Loan,1383581,14.4,16,Active,2022-11-26
L00359,C02972,B02,Car Loan,2606381,10.2,24,Active,2023-02-28
L00360,C09139,B01,Car Loan,4038254,9.5,4,Active,2024-01-02
L00361,C07559,B05,Home Loan,2798298,8.4,25,Active,2023-10-18
L00362,C03600,B04,Education Loan,4193937,8.2,28,Active,2022-01-20
L00363,C05078,B02,Home Loan,2305201,8.8,9,Delayed,2022-12-30
L00364,C09319,B04,Education Loan,4667146,13.3,17,Delayed,2022-03-16
L00365,C08342,B02,Home Loan,4905181,8.1,26,Active,2023-09-25
L00366,C02411,B04,Car Loan,1683676,13.0,11,Active,2022-01-30
L00367,C17875,B03,Home Loan,4812972,-1.0,13,Active,2024-05-06
L00368,C07790,B02,Personal Loan,2145489,11.9,3,Delayed,2023-01-20
L00369,C07040,B01,Personal Loan,3852507,15.5,7,Closed,2024-01-04
