Customer_ID,Age,Gender,Annual_Income,Employment_Type,Credit_Score
C00080,47,Female,308039,Student,620.0
C00081,58,Female,2673979,Student,631.0
C00082,38,Male,1219065,Self-Employed,640.0
C00083,27,Male,575850,Salaried,707.0
C00084,54,Male,1970082,Self-Employed,566.0
C00085,46,Male,2887410,Student,736.0
C00086,49,Female,2983106, salaried ,793.0
C00087,24,Male,590240,Self-Employed,642.0
C00088,33,Female,2440816,Student,601.0
C00089,51,Male,1277485,Student,655.0
C00090,54,Male,2557819,Salaried,744.0
C00091,38,Female,1937026,Self-Employed,703.0
C00092,53,Male,2275684,Self-Employed,731.0
C00093,54,Female,2562171,Student,792.0
C00094,36,Female,2717484,Self-Employed,835.0
C00095,56,Male,687673,Student,686.0
C00096,32,Male,2254340,Self-Employed,778.0
C00097,30,Female,680976,Salaried,697.0
C00098,48,Female,2848592,Self-Employed,591.0
C00099,46,Male,1996620,Student,729.0
C00100,26,Female,820169,Student,836.0
C00101,54,Male,1090415,Self-Employed,677.0
C00102,28,Male,2718358,Salaried,712.0
C00103,53,Female,2040155,Salaried,
C00104,21,Male,919018,Salaried,799.0
C00105,52,Male,2515574,Salaried,551.0
C00106,52,Female,2239449,Student,
C00107,52,Female,507550,Self-Employed,695.0
C00108,47,Male,1064843,Self-Employed,583.0
C00109,39,Female,2580134,Student,827.0
C00110,49,Female,1247245,Self-Employed,762.0
C00111,32,Male,401480,Student,735.0
C00112,52,Male,1930497,,725.0
C00113,43,Female,2726830,Salaried,696.0
C00114,39,Male,1802370,Student,564.0
C00115,41,Female,2934168,Student,782.0
C00116,43,Male,608124,Student,693.0
C00117,22,Female,2102129,Salaried,668.0
C00118,26,Female,2054282,Salaried,681.0
C00119,30,Male,2957489,Salaried,690.0
C00120,25,Female,1707101,Student,833.0
C00121,38,Female,2519377,Student,608.0
C00122,47,Female,692607,Salaried,603.0
C00123,47,Male,419786,Salaried,587.0
C00124,39,Male,2234485,Student,736.0
C00125,55,Female,310289,Self-Employed,557.0
C00126,43,Female,2662049,Student,788.0
C00127,24,Male,356155,Salaried,770.0
C00128,51,Male,2159012,Self-Employed,763.0
C00129,43,Male,1520148,Salaried,690.0
C00130,46,Female,2042727,Student,673.0
C00131,43,Female,1983133,Salaried,832.0
C00132,43,Female,1499563,Salaried,800.0
C00133,24,Male,1599973,Salaried,603.0
C00134,43,Male,1659096,Salaried,627.0
C00135,52,Male,2128251,Self-Employed,623.0
C00136,33,Female,2217723,Self-Employed,692.0
C00137,45,Male,1513927,Student,742.0
C00138,22,Male,1251757,Student,616.0
C00139,34,Male,414922,Salaried,566.0
C00140,38,Male,2403889,Self-Employed,665.0
C00141,60,Female,910650,Student,701.0
C00142,29,Female,1472331,Salaried,752.0
C00143,32,Female,2980085,Student,587.0
C00144,37,Female,2419008,Self-Employed,757.0
C00145,60,Male,1233832,Salaried,598.0
C00146,55,Male,1582299,Salaried,638.0
C00147,22,Male,1176867,Salaried,704.0
C00148,30,Female,1990693,Salaried,581.0
C00149,53,Female,712538,Salaried,721.0
C00150,23,Male,2872137,Self-Employed,561.0
C00151,55,Female,2965288,Student,
C00152,32,Female,1106108,Self-Employed,720.0
C00153,57,Male,922240,Student,631.0
C00154,32,Female,1755961,Salaried,680.0
C00155,38,Female,2046431,Salaried,635.0
C00156,47,Male,2037741,Self-Employed,700.0
C00157,26,Male,413528,Salaried,592.0
C00158,43,Female,2219776,Self-Employed,596.0
C00159,41,Female,479475,Salaried,840.0
C00160,52,Female,1223320,Self-Employed,649.0
C00161,60,Male,2235229,Self-Employed,758.0
C00162,47,Female,2695124,Student,552.0
C00163,37,Female,2014954,Salaried,583.0
C00164,37,Male,731267,Self-Employed,787.0
C00165,37,Female,2136438,Self-Employed,657.0
C00166,53,Male,400017,Salaried,640.0
C00167,33,Male,923620,Self-Employed,601.0
C00168,27,Female,634098,Salaried,630.0
C00169,34,Male,2959200,Student,620.0
C00170,21,Female,1294576,Salaried,790.0
C00171,25,Female,1807612,Salaried,832.0
C00172,24,Female,2434597,Salaried,560.0
C00173,51,Female,2917780,Self-Employed,591.0
C00174,49,Female,2987832,Salaried,738.0
C00175,48,Female,743260,Self-Employed,814.0
C00176,39,Female,1363603,Student,645.0
C00177,49,Female,1393768,Student,803.0
C00178,27,Male,2449821,Student,551.0
C00179,57,Male,1206350,Self-Employed,773.0
C00180,41,Male,924446,Salaried,833.0
C00181,58,Female,2338702,Self-Employed,699.0
C00182,27,Female,1636826,Salaried,725.0
C00183,40,Female,2318442,Salaried,627.0
C00184,48,Male,1325755,Salaried,786.0
C00185,40,Male,1613668,Student,800.0
C00186,38,Male,324650,Student,800.0
C00187,27,Female,343599,Self-Employed,801.0
C00188,36,Female,300941,Salaried,573.0
C00189,30,Male,773055, salaried ,708.0
C00190,33,Female,1238598,Student,703.0
C00191,48,Male,435717,Self-Employed,564.0
C00192,46,Female,734027,Student,791.0
C00193,45,Female,2586939,Student,608.0
C00194,35,Male,2607347,Student,677.0
C00195,59,Female,1082383,Student,566.0
C00196,24,Female,2855480,Salaried,787.0
C00197,34,Female,618391,Salaried,604.0
C00198,25,Male,384780,Salaried,705.0
C00199,34,Male,1256265,Salaried,703.0
C00200,59,Male,1014777,Self-Employed,578.0
C00201,35,Male,508681,Student,807.0
C00202,57,Female,2588121,Salaried,551.0
C00203,40,Female,2942914,Student,746.0
C00204,48,Female,1030056,Salaried,601.0
C00205,39,Male,1150521,Student,730.0
C00206,31,Female,2239639,Self-Employed,617.0
C00207,51,Female,2819280,Self-Employed,775.0
C00208,59,Female,1074499,Self-Employed,719.0
C00209,31,Female,2143367,Student,742.0
C00210,52,Female,362463,Self-Employed,847.0
C00211,31,Male,1828488,Salaried,683.0
C00212,49,Male,2965326,Self-Employed,778.0
C00213,52,Female,1583841,Self-Employed,795.0
C00214,38,Male,2032150,Student,647.0
C00215,50,Male,2155926,Self-Employed,643.0
C00216,31,Female,2007170,Salaried,762.0
C00217,24,Male,2152943,Salaried,829.0
C00218,24,Female,2694122,Student,554.0
C00219,38,Male,328406,Salaried,584.0
C00220,57,Male,2688429,Self-Employed,600.0
C00221,26,Male,2751016,Salaried,741.0
C00222,39,Male,2740841,Salaried,676.0
C00223,49,Male,1293501,Salaried,700.0
C00224,29,Male,1874096,Self-Employed,645.0
C00225,49,Female,1253837,Student,678.0
C00226,33,Male,2568845,Salaried,783.0
C00227,53,Male,1397794,Student,679.0
C00228,44,Female,1145118,,668.0
C00229,42,Male,2150263,Student,562.0
C00230,28,Male,433288,Self-Employed,663.0
C00231,39,Male,1315247,Student,776.0
C00232,55,Male,856975,Self-Employed,591.0
C00233,21,Female,1309343,Student,656.0
C00234,51,Female,1511604,Salaried,635.0
C00235,40,Male,471355,Student,693.0
C00236,49,Female,2634593,Salaried,
C00237,47,Male,1424932,Salaried,805.0
C00238,38,Male,1268786,Student,665.0
C00239,33,Male,703591,Salaried,723.0
C00240,46,Male,2988638,Salaried,796.0
C00241,26,Male,2610090,Student,806.0
C00242,44,Male,1601079,Self-Employed,731.0
C00243,24,Female,1203179,,591.0
C00244,46,Male,1562217,Salaried,663.0
C00245,46,Male,2894341,,634.0
C00246,24,Male,897759,Salaried,754.0
C00247,51,Male,2148225,Self-Employed,618.0
C00248,37,Male,2739613,Salaried,560.0
C00249,52,Male,2341609,Salaried,816.0
C00250,22,Male,2649422,Salaried,583.0
C00251,28,Male,2858928,Salaried,785.0
C00252,40,Male,461987,Self-Employed,837.0
C00253,28,Male,945123,Student,801.0
C00254,34,Male,689921,Student,697.0
C00255,47,Male,1831685, salaried ,721.0
C00256,26,Female,1400073,Student,766.0
C00257,48,Female,409959,Self-Employed,616.0
C00258,25,Male,1805454,Self-Employed,677.0
C00259,28,Male,572048,Self-Employed,663.0
C00260,44,Male,1399746,Salaried,632.0
C00261,52,Female,1289784,Self-Employed,715.0
C00262,27,Female,2712709,Student,676.0
C00263,32,Female,2142754,Self-Employed,555.0
C00264,58,Male,1985333,Student,577.0
C00265,60,Male,2545572,Student,742.0
C00266,44,Male,787427,,716.0
C00267,38,Female,992291,Self-Employed,807.0
C00268,34,Female,2331286,Self-Employed,572.0
C00269,45,Male,2322508,Student,648.0
C00270,44,Female,357675,Self-Employed,666.0
C00271,32,Male,905586,Self-Employed,754.0
C00272,21,Male,913169,,681.0
C00273,27,Male,316350,Student,695.0
C00274,59,Female,2085539,Self-Employed,827.0
C00275,37,Male,446915,Student,551.0
C00276,40,Female,2571707,Salaried,818.0
C00277,39,Female,1881008,Student,635.0
C00278,52,Male,2356671,Salaried,562.0
C00279,23,Female,1642298,Student,708.0
C00280,24,Male,2919695,Self-Employed,613.0
C00281,32,Female,1030148,Self-Employed,768.0
C00282,40,Male,1806526,Salaried,
C00283,47,Male,317679,Self-Employed,671.0
C00284,40,Female,2548820,Salaried,
C00285,38,Female,1833627,Self-Employed,606.0
C00286,58,Male,774938,Self-Employed,651.0
C00287,27,Female,2507537,Salaried,568.0
C00288,43,Male,2970903,Self-Employed,743.0
C00289,42,Female,485071,Salaried,765.0
C00290,39,Female,2583523,Salaried,779.0
C00291,53,Male,2288481,Salaried,659.0
C00292,31,Female,1256925,Self-Employed,802.0
C00293,59,Female,2013265,Student,744.0
C00294,34,Male,2420591,Self-Employed,723.0
C00295,42,Male,1594257,Salaried,616.0
C00296,41,Male,2099472,Self-Employed,803.0
C00297,54,Male,430521,,777.0
C00298,38,Male,2798332,Salaried,813.0
C00299,32,Female,2793642,Salaried,653.0
C00300,21,Female,867697,Salaried,715.0
C00301,35,Male,1589090,Salaried,565.0
C00302,54,Male,944551,Salaried,730.0
C00303,21,Female,1378938,Self-Employed,703.0
C00304,56,Female,1043232,Student,796.0
C00305,42,Male,2625983,Student,770.0
C00306,26,Male,2175834,Student,848.0
C00307,33,Male,2583061,Self-Employed,830.0
C00308,43,Male,2440817,,600.0
C00309,33,Male,2263604,Student,842.0
C00310,25,Male,749970,Self-Employed,559.0
C00311,47,Male,2539271,Salaried,687.0
C00312,47,Male,2414337,Self-Employed,830.0
C00313,25,Male,635686,Self-Employed,
C00314,32,Male,536938,Student,848.0
C00315,30,Male,2354471,Salaried,717.0
C00316,47,Female,1353484,Self-Employed,755.0
C00317,50,Male,1185692,Salaried,710.0
C00318,50,Male,1370624,Self-Employed,829.0
C00319,58,Female,2642235,Salaried,584.0
C00320,51,Female,1281981,Self-Employed,667.0
C00321,33,Male,1299624,Salaried,751.0
C00322,25,Male,1378040,Student,698.0
C00323,45,Male,446620,Student,840.0
C00324,57,Female,401134,Student,725.0
C00325,60,Male,1418826,Self-Employed,588.0
C00326,30,Male,345405,Student,734.0
C00327,30,Female,2343297,Salaried,643.0
C00328,22,Female,1445851,Salaried,691.0
C00329,26,Male,1652516,Student,573.0
C00330,43,Male,1207382,Self-Employed,811.0
C00331,42,Female,2361811,Student,671.0
C00332,35,Female,1454273,Salaried,792.0
C00333,33,Female,395239,Self-Employed,694.0
C00334,54,Female,1618423,Student,835.0
C00335,39,Male,778343,Self-Employed,657.0
C00336,53,Female,1906562,Salaried,582.0
C00337,59,Female,1821741,Salaried,693.0
C00338,33,Female,1581344,Self-Employed,560.0
C00339,29,Male,1340347,Student,791.0
C00340,59,Male,1909165,Self-Employed,826.0
C00341,46,Male,2136474,Self-Employed,614.0
C00342,32,Female,2672146,Self-Employed,565.0
C00343,45,Female,2898896,Salaried,778.0
C00344,41,Male,524491,Self-Employed,757.0
C00345,57,Female,2081627,Salaried,788.0
C00346,31,Female,528561,Student,721.0
C00347,60,Female,1426879,Salaried,724.0
C00348,58,Male,2301480,Salaried,631.0
C00349,28,Male,1764382,Self-Employed,644.0
C00350,27,Male,2481047,Self-Employed,739.0
C00351,42,Female,2764631,Self-Employed,831.0
C00352,22,Female,2929480,Student,643.0
C00353,32,Male,2117070,Student,659.0
C00354,38,Male,2118186,Student,727.0
C00355,59,Female,2468584,Salaried,565.0
C00356,60,Female,929195,Self-Employed,746.0
C00357,27,Male,1114099,Salaried,590.0
C00358,56,Male,1221421,Student,755.0
C00359,24,Female,2309667,Salaried,818.0
C00360,50,Female,1248250,Student,825.0
C00361,54,Female,676464,Self-Employed,595.0
C00362,56,Female,2456355,Student,729.0
C00363,29,Male,2324394,Student,684.0
C00364,56,Female,1904324,Self-Employed,697.0
C00365,25,Female,2680208,Student,758.0
C00366,41,Male,2437979,,848.0
C00367,39,Male,2730627,Student,722.0
C00368,33,Male,1001366,Student,716.0
C00369,21,Male,614793,Salaried,746.0
C00370,51,Male,1222161,Student,702.0
C00371,34,Female,2540681,Student,654.0
C00372,47,Male,2796628,Self-Employed,797.0
C00373,37,Female,596828,Student,749.0
C00374,35,Female,2609868,Salaried,720.0
C00375,56,Female,1591671,Salaried,552.0
C00376,24,Male,2508525,Student,632.0
C00377,50,Male,2142808,Student,629.0
C00378,50,Male,462054,Salaried,745.0
C00379,36,Female,1607472,Student,587.0
C00380,31,Male,540170,Salaried,664.0
C00381,21,Male,1217755,Student,687.0
C00382,58,Female,2345422,Student,
C00383,58,Female,2146317,Self-Employed,593.0
C00384,30,Male,2202551,Salaried,732.0
C00385,22,Female,2084372,Salaried,714.0
C00386,25,Male,339734,Self-Employed,772.0
C00387,23,Male,1873810,Student,604.0
C00388,54,Male,1609529,Self-Employed,730.0
C00389,56,Female,1726757,Self-Employed,674.0
C00390,27,Male,874510,Self-Employed,628.0
C00391,50,Male,2205497,Student,572.0
C00392,28,Female,1940367,Student,664.0
C00393,35,Male,1388200,Salaried,
C00394,44,Male,452736,Salaried,565.0
C00395,49,Male,485674,Self-Employed,793.0
C00396,55,Female,1269311,Salaried,758.0
C00397,22,Female,1751127,Student,
C00398,28,Female,2991623,Student,564.0
C00399,32,Male,2253329,Self-Employed,762.0
C00400,33,Female,1610549,Student,557.0
C00401,60,Female,1107731,Self-Employed,678.0
C00402,52,Female,755242,Student,612.0
C00403,33,Female,680028,Student,620.0
C00404,59,Female,494097,Salaried,777.0
C00405,40,Male,2761971,Student,641.0
C00406,41,Male,342864,Self-Employed,623.0
C00407,38,Female,2632124,Self-Employed,641.0
C00408,26,Male,1875472,Salaried,594.0
C00409,58,Female,1969772,Salaried,773.0
C00410,21,Female,2888362,Student,699.0
C00411,27,Male,2423839,Self-Employed,610.0
C00412,30,Female,697243,Salaried,642.0
C00413,32,Male,2915774,Self-Employed,844.0
C00414,26,Female,775404,Self-Employed,
C00415,21,Male,1836999,Student,756.0
C00416,48,Male,2029746,Student,807.0
C00417,59,Female,959290,Self-Employed,670.0
C00418,25,Male,2001729,Salaried,654.0
C00419,32,Male,2024792,Self-Employed,850.0
C00420,41,Male,2945639,Salaried,720.0
C00421,58,Female,2769402,Salaried,615.0
C00422,48,Male,1379172,Student,808.0
C00423,51,Male,2163400,Salaried,779.0
C00424,44,Male,2516523,Salaried,670.0
C00425,37,Female,370849,Self-Employed,631.0
C00426,28,Male,2149036,Self-Employed,747.0
C00427,55,Male,2776258,Self-Employed,713.0
C00428,53,Female,624660,Salaried,621.0
C00429,22,Male,2334923,Student,566.0
C00430,49,Female,462979,Salaried,796.0
C00431,24,Male,1384943,Student,804.0
C00432,50,Female,2512619,Student,822.0
C00433,54,Male,2966228,Self-Employed,660.0
C00434,26,Female,2264988,Salaried,761.0
C00435,38,Female,2248534,Student,725.0
C00436,25,Male,999720,Student,630.0
C00437,43,Male,2528690,Self-Employed,829.0
C00438,58,Male,2079018,Salaried,651.0
C00439,24,Male,2846549,Self-Employed,559.0
C00440,36,Female,1927745,Self-Employed,599.0
C00441,59,Male,406861,Self-Employed,841.0
C00442,33,Female,1679579,Salaried,570.0
C00443,26,Male,2390933,Self-Employed,708.0
C00444,40,Female,2427432,Student,696.0
C00445,41,Female,1343135,Self-Employed,785.0
C00446,47,Female,761742,Self-Employed,797.0
C00447,33,Female,2646502,Student,692.0
C00448,59,Female,2522540,Student,740.0
C00449,41,Female,2673018,Self-Employed,795.0
C00450,32,Female,2110635,Salaried,793.0
C00451,59,Male,2537269,Salaried,815.0
C00452,57,Female,1387546,Student,762.0
C00453,40,Female,2403841,Self-Employed,664.0
C00454,21,Female,1618309,Self-Employed,718.0
C00455,44,Female,2444563,Student,767.0
C00456,43,Male,695067,Self-Employed,639.0
C00457,26,Male,1100691,Salaried,850.0
C00458,46,Male,878868,Student,683.0
C00459,54,Male,1397626,Student,777.0
C00460,25,Male,2499153,Salaried,702.0
C00461,49,Male,610648,Student,838.0
C00462,26,Female,2272355,Self-Employed,750.0
C00463,50,Female,2542597,Self-Employed,771.0
C00464,37,Female,2112034,Student,783.0
C00465,21,Male,2044217,Salaried,649.0
C00466,59,Male,673748,Student,655.0
C00467,27,Female,1954335,Salaried,798.0
C00468,44,Male,911366,Student,689.0
C00469,28,Female,964410,Salaried,750.0
C00470,58,Female,2626013,Salaried,705.0
C00471,50,Female,1960597,Self-Employed,559.0
C00472,53,Male,2982279,Self-Employed,691.0
C00473,38,Female,1527289,Student,601.0
C00474,39,Female,1265982,Student,576.0
C00475,46,Male,2987225,,628.0
C00476,52,Male,1980761,Self-Employed,638.0
C00477,54,Female,2630284,Salaried,773.0
C00478,21,Male,420131,Student,625.0
C00479,47,Female,1720153,Self-Employed,789.0
C00480,25,Male,2505732,Self-Employed,613.0
C00481,32,Female,2482830,Self-Employed,798.0
C00482,54,Male,2230540,Student,708.0
C00483,31,Male,744163,Self-Employed,570.0
C00484,52,Male,1776442,Student,583.0
C00485,39,Male,573781,Self-Employed,571.0
C00486,30,Male,2465227,Student,673.0
C00487,34,Female,2002757,Student,640.0
C00488,42,Male,823334,Student,563.0
C00489,51,Male,2262321,Self-Employed,755.0
C00490,45,Male,2242173,Salaried,806.0
C00491,58,Female,443252,Salaried,803.0
C00492,55,Female,540843,Self-Employed,595.0
C00493,51,Female,842601,Self-Employed,811.0
C00494,45,Male,489291, salaried ,678.0
C00495,32,Female,1750623,Salaried,612.0
C00496,37,Male,2675809,Self-Employed,590.0
C00497,25,Female,469604,Student,780.0
C00498,35,Male,1959238,Student,627.0
C00499,58,Female,1444942,Student,742.0
C00500,38,Female,2557999,Student,
C00501,25,Male,1601615,Salaried,828.0
C00502,47,Female,2105494,Student,765.0
C00503,59,Male,2788886,Self-Employed,782.0
C00504,55,Female,667658,Self-Employed,698.0
C00505,31,Female,1152326,Student,709.0
C00506,39,Female,1028238,Student,594.0
C00507,42,Female,755404,Self-Employed,785.0
C00508,30,Male,2049335,,776.0
C00509,31,Male,320272, salaried ,642.0
C00510,30,Female,1342119,Self-Employed,592.0
C00511,60,Male,628341,Student,786.0
C00512,50,Male,1961168,Student,782.0
C00513,54,Male,2327338,Salaried,785.0
C00514,53,Female,1560510,Student,559.0
C00515,59,Male,1501289,Self-Employed,807.0
C00516,25,Male,1514325,,658.0
C00517,56,Male,836557,Salaried,622.0
C00518,23,Male,1314021,Self-Employed,708.0
C00519,40,Female,2819174,Salaried,805.0
C00520,44,Female,411117,Salaried,795.0
C00521,35,Female,2426353,Student,600.0
C00522,26,Female,744775,Salaried,
C00523,28,Male,608784,Student,782.0
C00524,53,Female,1071125,Student,830.0
C00525,33,Male,1026184,,829.0
C00526,33,Male,1153730,Student,708.0
C00527,57,Male,2593492,Salaried,560.0
C00528,26,Male,2742571,Salaried,571.0
C00529,57,Female,2169565,Student,738.0
C00530,57,Male,694734,Salaried,577.0
C00531,44,Female,2852972,Salaried,748.0
C00532,27,Male,2588202,Student,581.0
C00533,27,Male,505873,Self-Employed,795.0
C00534,32,Male,1345741,Salaried,630.0
C00535,44,Male,2393610,Salaried,580.0
C00536,27,Male,540748,Student,652.0
C00537,39,Female,506310,Self-Employed,823.0
C00538,25,Female,1936145,Student,716.0
C00539,42,Female,1208987,Self-Employed,849.0
C00540,21,Male,1492404,Self-Employed,627.0
C00541,49,Female,2326805,Self-Employed,752.0
C00542,23,Female,1771077,Salaried,606.0
C00543,28,Male,2219726,Self-Employed,679.0
C00544,27,Female,640355,Student,663.0
C00545,54,Female,305718,Self-Employed,741.0
C00546,23,Female,979512,Student,752.0
C00547,38,Male,845245,Student,566.0
C00548,44,Male,1174874,Self-Employed,759.0
C00549,41,Male,2402148,Self-Employed,776.0
C00550,48,Male,710337,Salaried,664.0
C00551,53,Male,640598,Student,571.0
C00552,36,Male,842006,Salaried,677.0
C00553,54,Male,1181223,Salaried,647.0
C00554,33,Female,832639,Student,788.0
C00555,60,Male,796501,Salaried,591.0
C00556,41,Male,1864916,Self-Employed,639.0
C00557,50,Male,600927,Salaried,768.0
C00558,56,Male,715690,Student,833.0
C00559,52,Female,2558889, salaried ,728.0
C00560,55,Female,349162,Salaried,550.0
C00561,42,Female,465622,Self-Employed,760.0
C00562,22,Female,487513,Self-Employed,559.0
C00563,40,Male,1747334,Salaried,569.0
C00564,28,Female,2175895,Salaried,750.0
C00565,56,Female,2170210,Salaried,661.0
C00566,30,Male,2163234,Salaried,558.0
C00567,30,Female,455493,Salaried,672.0
C00568,30,Female,1230271,Salaried,664.0
C00569,46,Female,2010252,Self-Employed,731.0
C00570,43,Male,2141551,Student,834.0
C00571,58,Male,1201976,Student,580.0
C00572,37,Male,2586198,Salaried,750.0
C00573,32,Male,2550572,Self-Employed,
C00574,22,Female,2367173,Student,844.0
C00575,21,Male,2453680,Student,668.0
C00576,35,Female,2932928,Self-Employed,598.0
C00577,58,Male,2443543,Salaried,822.0
C00578,41,Male,1880728,Student,565.0
C00579,56,Female,1376391,Self-Employed,685.0
C00580,25,Male,1277463,Salaried,746.0
C00581,24,Male,2520880,Salaried,580.0
C00582,54,Male,1098919,Self-Employed,639.0
C00583,25,Male,2000951,Student,581.0
C00584,23,Female,1657363,Student,804.0
C00585,37,Female,1322445,Salaried,626.0
C00586,57,Female,1517158,Student,731.0
C00587,48,Female,517808,Student,622.0
C00588,24,Male,2215536,Student,758.0
C00589,54,Female,480411,Student,789.0
C00590,54,Male,499257,Student,562.0
C00591,53,Male,978784,Self-Employed,767.0
C00592,57,Female,1734598,Self-Employed,748.0
C00593,30,Male,1108878,Self-Employed,573.0
C00594,60,Female,2676649,Student,629.0
C00595,33,Female,2804326,Self-Employed,
C00596,53,Male,1361868,Student,683.0
C00597,44,Male,2999832,Salaried,578.0
C00598,52,Female,540347,Self-Employed,743.0
C00599,46,Female,687919,Student,786.0
C00600,46,Female,1237882,Salaried,680.0
C00601,45,Female,2845474,Student,583.0
C00602,52,Male,1659741,Self-Employed,
C00603,50,Male,2207658,Salaried,663.0
C00604,26,Female,2062250,Salaried,695.0
C00605,54,Male,1646242,Salaried,776.0
C00606,42,Female,2815565,Self-Employed,755.0
C00607,33,Female,2877653,Salaried,626.0
C00608,41,Female,1510006,Student,757.0
C00609,59,Male,2226971,Student,584.0
C00610,55,Female,1984637,Salaried,605.0
C00611,54,Male,1902867,Self-Employed,786.0
C00612,39,Female,574161,Student,821.0
C00613,52,Male,865722,Self-Employed,757.0
C00614,36,Female,2973109,Salaried,687.0
C00615,48,Male,959998,Salaried,818.0
C00616,46,Male,2059720,Self-Employed,656.0
C00617,30,Male,2761054,Student,743.0
C00618,31,Female,1926604, salaried ,756.0
C00619,23,Male,880604,Salaried,
C00620,26,Male,2621094,Salaried,838.0
C00621,38,Male,387226,Salaried,742.0
C00622,40,Male,2252411,Student,622.0
C00623,27,Male,1018813,Student,797.0
C00624,37,Male,2028756,Salaried,664.0
C00625,45,Female,1597500,Student,575.0
C00626,30,Female,1836527,Salaried,753.0
C00627,34,Female,1331304,Self-Employed,590.0
C00628,35,Female,1728097,Self-Employed,729.0
C00629,41,Male,2826668,Student,753.0
C00630,35,Female,2531292,Student,
C00631,50,Male,1430149,Salaried,788.0
C00632,34,Female,2841470,Self-Employed,687.0
C00633,38,Male,2700442,Salaried,656.0
C00634,36,Male,1993774,Salaried,580.0
C00635,28,Male,1905589,Salaried,771.0
C00636,48,Female,396173,Student,599.0
C00637,30,Male,1715136,,600.0
C00638,32,Female,874149,Student,
C00639,52,Male,732528,Student,683.0
C00640,58,Male,2617540,Student,814.0
C00641,47,Female,1031786,Self-Employed,775.0
C00642,57,Female,1961728,Student,772.0
C00643,55,Female,2641350,Self-Employed,609.0
C00644,40,Female,1914249,Student,745.0
C00645,51,Female,2405884,Student,655.0
C00646,34,Male,2392752,Self-Employed,692.0
C00647,39,Female,1508043,Salaried,
C00648,42,Female,2788786,Salaried,600.0
