Alert_ID,Customer_ID,Alert_Date,Alert_Type,Risk_Level
F000039,C06547,2023-10-17,Location Mismatch,High
F000040,C02387,2023-08-21,Location Mismatch,High
F000041,C17716,2023-11-19,Location Mismatch,Medium
F000042,C19067,2023-07-18,Multiple Transactions,
F000043,C05278,2023-02-12,Multiple Transactions,Medium
F000044,C12031,2023-04-28,Location Mismatch,High
F000045,C09337,2023-06-15,High Amount,High
F000046,C01085,2023-02-28,Multiple Transactions,Medium
F000047,C06748,2023-09-01,Location Mismatch,Low
F000048,C01795,2023-11-27,Location Mismatch,Low
F000049,C06757,2023-09-26,Multiple Transactions,High
F000050,C10726,2023-06-25,Location Mismatch,Low
F000051,C18243,2023-10-31,High Amount,High
F000052,C03952,2023-05-27,Multiple Transactions,Medium
F000053,C01095,2023-10-18,High Amount,Medium
F000054,C03898,2023-01-12,Multiple Transactions,Medium
F000055,C10320,2023-04-26,High Amount,High
F000056,C15031,2023-10-30,Multiple Transactions,Low
F000057,C10422,2023-05-15,Multiple Transactions,Low
F000058,C05676,2023-07-24,HighAmount,Low
F000059,C05789,2023-11-20,High Amount,Medium
F000060,C16333,2023-05-09,Location Mismatch,Medium
F000061,C11056,2023-06-29,Multiple Transactions,Medium
F000062,C00805,2023-12-31,High Amount,Low
F000063,C06713,2023-12-15,Location Mismatch,Medium
F000064,C09191,2023-04-07,Multiple Transactions,Low
F000065,C17747,2023-11-05,Location Mismatch,Medium
F000066,C05865,2023-08-13,High Amount,Medium
F000067,C01998,2023-04-18,Multiple Transactions,Low
F000068,C09293,2023-11-17,Location Mismatch,Medium
F000069,C17943,2023-01-14,Multiple Transactions,High
F000070,C08416,2023-03-02,High Amount,Medium
F000071,C16930,2023-03-04,Location Mismatch,Medium
F000072,C04090,2023-08-03,High Amount,Medium
F000073,C17480,2023-01-01,Multiple Transactions,Low
F000074,C00636,2023-05-08,Location Mismatch,Low
F000075,C00786,2023-06-04,Multiple Transactions,Medium
F000076,C10543,2023-11-09,High Amount,Medium
F000077,C16878,2023-04-15,High Amount,High
F000078,C07303,2023-12-27,High Amount,Medium
F000079,C05427,2023-07-26,Location Mismatch,High
F000080,C09651,2023-08-02,Multiple Transactions,Medium
F000081,C04269,2023-11-15,Multiple Transactions,Low
F000082,C02590,2023-12-19,Multiple Transactions,Medium
F000083,C17391,2023-01-18,Location Mismatch,High
F000084,C09207,2023-04-04,High Amount,High
F000085,C08363,2023-04-03,High Amount,Medium
F000086,C12010,2023-11-28,Location Mismatch,High
F000087,C19981,2023-06-27,Location Mismatch,Medium
F000088,C19336,2023-11-27,High Amount,Medium
F000089,C17615,2023-06-30,High Amount,Low
F000090,C15215,2023-09-17,High Amount,Low
F000091,C16530,2023-04-27,Location Mismatch,Low
F000092,C15692,2023-02-25,Multiple Transactions,Medium
F000093,C15315,2023-01-13,High Amount,High
F000094,C15610,2023-09-13,High Amount,Medium
F000095,C02591,2023-01-15,High Amount,Medium
F000096,C14781,2023-03-10,High Amount,High
F000097,C09478,2023-10-02,Multiple Transactions,High
F000098,C04809,2023-04-10,Location Mismatch,Low
F000099,C05112,2023-08-14,Multiple Transactions,Low
F000100,C05955,2023-07-30,High Amount,Medium
F000101,C17530,2023-02-20,High Amount,High
F000102,C12426,2023-11-17,Location Mismatch,Low
F000103,C18896,2023-04-15,Multiple Transactions,Low
F000104,C08623,2023-07-31,High Amount,Medium
F000105,C06403,2023-07-10,High Amount,Medium
F000106,C06612,2023-05-15,Location Mismatch,Low
F000107,C19142,2023-08-25,Location Mismatch,
F000108,C10823,2023-02-14,High Amount,Medium
F000109,C06445,2023-03-21,Multiple Transactions,Medium
F000110,C05614,2023-03-15,Location Mismatch,High
F000111,C12863,2023-09-18,Multiple Transactions,High
F000112,C07094,2023-06-29,High Amount,Low
F000113,C02790,2023-02-18,Multiple Transactions,Medium
F000114,C09379,2023-09-08,High Amount,Medium
F000115,C19116,2023-02-04,Multiple Transactions,Medium
F000116,C13081,2023-09-07,High Amount,Low
F000117,C01605,2023-03-20,High Amount,Medium
F000118,C11287,2023-07-18,Location Mismatch,Medium
F000119,C01320,2023-11-21,HighAmount,Medium
F000120,C00438,2023-07-13,High Amount,Medium
F000121,C00126,2023-10-30,Multiple Transactions,High
F000122,C12856,2023-06-10,Location Mismatch,Medium
F000123,C08205,2023-05-29,High Amount,Low
F000124,C13644,2023-03-26,Location Mismatch,Low
F000125,C13362,2023-01-27,High Amount,Medium
F000126,C03457,2023-08-11,Multiple Transactions,High
F000127,C17023,2023-03-17,Location Mismatch,Low
F000128,C07065,2023-06-04,High Amount,Medium
F000129,C13307,2023-09-27,Multiple Transactions,Medium
F000130,C08139,2023-12-01,High Amount,Low
F000131,C01252,2023-09-13,Multiple Transactions,Medium
F000132,C00850,2023-05-14,Location Mismatch,High
F000133,C07406,2023-11-25,Location Mismatch,Medium
F000134,C09437,2023-07-05,Location Mismatch,High
F000135,C01903,2023-06-28,Location Mismatch,Medium
F000136,C01268,2023-05-11,Location Mismatch,Medium
F000137,C14745,2023-02-25,High Amount,Medium
F000138,C02654,2023-07-20,Multiple Transactions,Medium
F000139,C18942,2023-08-17,Multiple Transactions,
F000140,C12220,2023-12-20,Location Mismatch,Low
F000141,C03810,2023-02-21,Multiple Transactions,Medium
F000142,C03597,2023-04-14,Location Mismatch,High
F000143,C12459,2023-04-06,Location Mismatch,Medium
F000144,C00877,2023-05-02,Location Mismatch,
F000145,C03342,2023-12-23,High Amount,High
F000146,C04740,2023-11-06,Location Mismatch,Medium
F000147,C03221,2023-12-04,Multiple Transactions,
F000148,C11107,2023-03-08,High Amount,High
F000149,C10921,2023-06-27,Multiple Transactions,Medium
F000150,C11580,2023-06-28,High Amount,Low
F000151,C11706,2023-07-26,Multiple Transactions,Low
F000152,C05548,2023-01-16,Location Mismatch,Medium
F000153,C13307,2023-07-25,Multiple Transactions,Low
F000154,C10968,2023-01-14,Location Mismatch,Medium
F000155,C13741,2023-06-30,Multiple Transactions,High
F000156,C15320,2023-11-03,High Amount,Medium
F000157,C06322,2023-06-14,Location Mismatch,Medium
F000158,C06689,2023-07-07,Location Mismatch,Low
F000159,C02964,2023-12-09,High Amount,Low
F000160,C08729,2023-01-14,Multiple Transactions,Low
F000161,C13905,2023-05-08,Location Mismatch,Medium
F000162,C19567,2023-02-18,Location Mismatch,Medium
F000163,C07446,2023-03-22,Multiple Transactions,High
F000164,C08514,2023-06-18,Location Mismatch,Low
F000165,C18749,2023-08-18,Location Mismatch,Low
F000166,C02494,2023-08-31,Multiple Transactions,Medium
F000167,C02344,2023-06-12,Multiple Transactions,Low
F000168,C12049,2023-01-11,Multiple Transactions,Low
F000169,C10424,2023-04-20,Location Mismatch,Low
F000170,C03389,2023-05-03,High Amount,Medium
F000171,C05877,2023-08-01,Location Mismatch,Medium
F000172,C12524,2023-05-21,High Amount,Medium
F000173,C01943,2023-03-27,Location Mismatch,Low
F000174,C13144,2023-04-02,Multiple Transactions,Medium
F000175,C11246,2023-07-04,Location Mismatch,Medium
F000176,C17060,2023-09-04,Multiple Transactions,Medium
F000177,C16049,2023-08-28,High Amount,Low
F000178,C03951,2023-01-20,Location Mismatch,Medium
F000179,C05561,2023-07-11,High Amount,Low
F000180,C15648,2023-10-29,High Amount,High
F000181,C06033,2023-09-11,Multiple Transactions,Medium
F000182,C19309,2023-08-04,Multiple Transactions,Medium
F000183,C17499,2023-08-10,Location Mismatch,High
F000184,C00912,2023-10-24,Location Mismatch,Low
F000185,C06288,2023-02-13,Location Mismatch,High
F000186,C17697,2023-03-17,High Amount,Medium
F000187,C12588,2023-08-05,Location Mismatch,Low
F000188,C10098,2023-12-01,Multiple Transactions,High
F000189,C17008,2023-06-19,Multiple Transactions,High
F000190,C13837,2023-01-16,High Amount,High
F000191,C12138,2023-05-03,Location Mismatch,Low
F000192,C05021,2023-10-12,Multiple Transactions,Medium
F000193,C16937,2023-05-15,Location Mismatch,High
F000194,C12052,2023-04-26,High Amount,Medium
F000195,C14433,2023-11-28,Location Mismatch,Low
F000196,C02393,2023-07-14,Location Mismatch,High
F000197,C01066,2023-09-17,HighAmount,Medium
F000198,C01404,2023-04-09,Location Mismatch,Low
F000199,C09196,2023-08-05,High Amount,Low
F000200,C08412,2023-03-06,High Amount,High
F000201,C00279,2023-04-07,High Amount,Medium
F000202,C03537,2023-03-05,High Amount,Medium
F000203,C09415,2023-08-31,Location Mismatch,Low
F000204,C16364,2023-09-01,Multiple Transactions,
F000205,C17146,2023-12-28,Location Mismatch,Medium
F000206,C08348,2023-03-11,Multiple Transactions,Low
F000207,C07899,2023-07-21,Location Mismatch,Medium
F000208,C00802,2023-05-22,Location Mismatch,Medium
F000209,C05408,2023-11-27,High Amount,Medium
F000210,C16823,2023-07-11,Multiple Transactions,High
F000211,C03689,2023-12-29,Location Mismatch,
F000212,C13266,2023-07-18,Multiple Transactions,High
F000213,C18720,2023-11-03,Multiple Transactions,Low
F000214,C02273,2023-12-16,High Amount,Low
F000215,C13156,2023-03-19,High Amount,Medium
F000216,C11240,2023-07-27,Location Mismatch,Medium
F000217,C03167,2023-11-18,HighAmount,Medium
F000218,C05872,2023-07-08,High Amount,High
F000219,C01218,2023-09-04,Multiple Transactions,Low
F000220,C09113,2023-11-07,High Amount,High
F000221,C06174,2023-08-01,Location Mismatch,Medium
F000222,C01205,2023-01-03,Multiple Transactions,Low
F000223,C10000,2023-12-20,Location Mismatch,
F000224,C09784,2023-11-15,Multiple Transactions,High
F000225,C04571,2023-10-10,High Amount,Low
F000226,C09662,2023-07-18,High Amount,Low
F000227,C18630,2023-02-15,Multiple Transactions,Low
F000228,C19587,2023-03-27,Location Mismatch,High
F000229,C15658,2023-12-26,Multiple Transactions,Medium
F000230,C15902,2023-01-16,HighAmount,Medium
F000231,C08449,2023-12-16,Location Mismatch,Medium
F000232,C10134,2023-03-11,Multiple Transactions,High
F000233,C09608,2023-09-02,Multiple Transactions,Medium
F000234,C06207,2023-10-01,High Amount,High
F000235,C15501,2023-11-24,High Amount,Medium
F000236,C02091,2023-07-24,High Amount,Medium
F000237,C11555,2023-10-04,High Amount,Medium
F000238,C04292,2023-07-20,High Amount,High
F000239,C05010,2023-10-17,Location Mismatch,Medium
F000240,C08204,2023-08-17,Location Mismatch,Medium
F000241,C09576,2023-07-13,Multiple Transactions,High
F000242,C06091,2023-06-22,High Amount,High
F000243,C04046,2023-02-09,Location Mismatch,Low
F000244,C15970,2023-02-20,High Amount,Medium
F000245,C16189,2023-05-29,Location Mismatch,High
F000246,C08480,2023-06-07,Location Mismatch,Low
F000247,C16839,2023-12-08,Location Mismatch,Medium
F000248,C00764,2023-07-17,High Amount,Low
F000249,C08667,2023-05-06,Multiple Transactions,High
F000250,C18472,2023-05-07,High Amount,Medium
F000251,C15426,2023-10-01,Multiple Transactions,Medium
F000252,C04766,2023-05-14,High Amount,Medium
F000253,C08823,2023-04-14,High Amount,High
F000254,C04734,2023-10-12,Multiple Transactions,High
F000255,C10786,2023-11-17,High Amount,High
F000256,C14048,2023-03-08,High Amount,Low
F000257,C10743,2023-08-31,High Amount,Medium
F000258,C18079,2023-03-23,Location Mismatch,Medium
F000259,C14498,2023-11-10,HighAmount,Medium
F000260,C11671,2023-04-08,Multiple Transactions,Low
F000261,C16517,2023-02-22,Multiple Transactions,High
F000262,C13065,2023-02-17,Multiple Transactions,High
F000263,C18709,2023-11-16,Location Mismatch,
F000264,C19351,2023-01-18,High Amount,Low
F000265,C06278,2023-05-07,Location Mismatch,Medium
F000266,C08134,2023-10-06,Location Mismatch,Low
F000267,C02891,2023-09-10,Location Mismatch,Medium
F000268,C01588,2023-08-09,Location Mismatch,Medium
F000269,C06737,2023-09-04,High Amount,Low
F000270,C10750,2023-12-25,High Amount,High
F000271,C14956,2023-01-25,Multiple Transactions,Medium
F000272,C16851,2023-07-14,High Amount,Low
F000273,C14411,2023-06-21,Multiple Transactions,
F000274,C02654,2023-11-27,Multiple Transactions,Medium
F000275,C07720,2023-09-30,Multiple Transactions,High
F000276,C16373,2023-09-01,Multiple Transactions,Medium
F000277,C03763,2023-09-11,Multiple Transactions,High
F000278,C01315,2023-01-21,Multiple Transactions,High
F000279,C19977,2023-01-29,Multiple Transactions,Medium
F000280,C14389,2023-05-08,Location Mismatch,Medium
F000281,C00143,2023-06-13,Multiple Transactions,Medium
F000282,C17284,2023-11-13,Multiple Transactions,
F000283,C09134,2023-06-30,High Amount,Low
F000284,C09512,2023-01-29,Location Mismatch,
F000285,C08739,2023-11-23,Multiple Transactions,Medium
F000286,C11066,2023-09-29,High Amount,Low
F000287,C12855,2023-02-27,Multiple Transactions,Low
F000288,C06343,2023-01-29,Location Mismatch,Low
F000289,C11515,2023-08-18,High Amount,High
F000290,C08923,2023-10-23,High Amount,Low
F000291,C09860,2023-02-03,Multiple Transactions,Low
F000292,C12816,2023-12-31,High Amount,Medium
F000293,C05001,2023-02-22,Multiple Transactions,High
F000294,C14644,2023-06-07,Location Mismatch,Low
F000295,C10721,2023-05-11,Multiple Transactions,High
F000296,C06705,2023-10-24,Multiple Transactions,High
F000297,C10083,2023-03-05,High Amount,High
F000298,C15098,2023-06-23,Multiple Transactions,Low
F000299,C12839,2023-04-15,High Amount,Low
F000300,C00859,2023-08-30,Multiple Transactions,Low
F000301,C11530,2023-11-12,Multiple Transactions,Medium
F000302,C05841,2023-03-06,Multiple Transactions,High
F000303,C04832,2023-05-29,Multiple Transactions,
F000304,C11589,2023-01-05,High Amount,High
F000305,C06044,2023-07-21,Multiple Transactions,Medium
F000306,C19971,2023-11-19,Multiple Transactions,
F000307,C18291,2023-07-01,High Amount,Medium
F000308,C07369,2023-10-29,Multiple Transactions,Medium
F000309,C16984,2023-07-29,Location Mismatch,High
F000310,C19071,2023-12-23,High Amount,Medium
F000311,C08573,2023-03-27,High Amount,Low
F000312,C17903,2023-03-24,Location Mismatch,Low
F000313,C08804,2023-08-14,High Amount,Low
F000314,C08292,2023-11-01,High Amount,Low
F000315,C18782,2023-10-27,Multiple Transactions,Low
F000316,C16768,2023-06-05,Multiple Transactions,Low
F000317,C00587,2023-02-22,Multiple Transactions,Medium
F000318,C02539,2023-11-09,Location Mismatch,Low
F000319,C12015,2023-12-28,High Amount,High
F000320,C10432,2023-11-24,Location Mismatch,Low
F000321,C13982,2023-07-07,High Amount,Medium
F000322,C09082,2023-06-04,Multiple Transactions,Medium
F000323,C09938,2023-03-31,High Amount,High
F000324,C18029,2023-09-24,Multiple Transactions,Medium
F000325,C00375,2023-01-03,High Amount,High
F000326,C13768,2023-06-26,Multiple Transactions,Low
F000327,C04545,2023-10-30,Location Mismatch,Medium
F000328,C13723,2023-07-20,High Amount,Medium
F000329,C03781,2023-06-30,High Amount,Low
F000330,C02603,2023-02-01,Location Mismatch,Low
F000331,C16182,2023-03-29,High Amount,High
F000332,C06707,2023-06-08,Location Mismatch,Medium
F000333,C13865,2023-04-03,High Amount,Low
F000334,C10917,2023-12-15,HighAmount,Medium
F000335,C07842,2023-02-20,Location Mismatch,Medium
F000336,C12706,2023-11-11,Location Mismatch,Low
F000337,C17964,2023-02-03,HighAmount,High
F000338,C13583,2023-08-13,Location Mismatch,Low
F000339,C11253,2023-11-03,Location Mismatch,Medium
F000340,C07570,2023-03-22,Multiple Transactions,High
F000341,C10764,2023-01-12,Multiple Transactions,High
F000342,C02712,2023-11-15,Multiple Transactions,Low
F000343,C19008,2023-06-15,Location Mismatch,High
F000344,C09715,2023-01-04,Multiple Transactions,Low
F000345,C11797,2023-11-24,High Amount,Medium
F000346,C03488,2023-12-11,Location Mismatch,Medium
F000347,C05838,2023-04-29,Location Mismatch,Low
F000348,C05536,2023-05-01,High Amount,High
F000349,C11009,2023-12-26,Location Mismatch,Medium
F000350,C16062,2023-03-28,High Amount,Medium
F000351,C07580,2023-12-22,Multiple Transactions,Low
F000352,C12356,2023-04-18,High Amount,High
F000353,C08447,2023-01-05,Multiple Transactions,Low
F000354,C01256,2023-11-26,Multiple Transactions,
F000355,C02591,2023-01-03,Multiple Transactions,High
F000356,C04002,2023-10-09,HighAmount,Low
F000357,C07405,2023-12-21,High Amount,High
F000358,C16356,2023-07-12,Location Mismatch,Medium
F000359,C19730,2023-10-07,Location Mismatch,Low
F000360,C17942,2023-12-24,High Amount,Medium
F000361,C19218,2023-07-19,Multiple Transactions,Medium
F000362,C13023,2023-07-28,High Amount,Medium
F000363,C14004,2023-10-01,Location Mismatch,High
F000364,C05082,2023-05-16,Multiple Transactions,High
F000365,C19609,2023-01-26,High Amount,Low
F000366,C14881,2023-02-03,Location Mismatch,
F000367,C18074,2023-02-20,Location Mismatch,High
F000368,C00755,2023-12-09,Multiple Transactions,High
F000369,C10944,2023-05-26,High Amount,High
F000370,C04322,2023-08-12,High Amount,Low
F000371,C02183,2023-05-17,Location Mismatch,High
F000372,C15472,2023-07-17,Multiple Transactions,Low
F000373,C05288,2023-07-14,Multiple Transactions,Medium
F000374,C05410,2023-04-17,Multiple Transactions,High
F000375,C09025,2023-03-29,HighAmount,Medium
F000376,C08756,2023-06-08,Multiple Transactions,Medium
F000377,C04054,2023-01-02,High Amount,Medium
F000378,C10091,2023-08-25,Multiple Transactions,Medium
F000379,C04514,2023-01-21,Multiple Transactions,Medium
F000380,C03876,2023-10-09,Multiple Transactions,Medium
F000381,C17145,2023-04-26,Multiple Transactions,Low
F000382,C16875,2023-10-30,Location Mismatch,Low
F000383,C08899,2023-06-05,Multiple Transactions,High
F000384,C07155,2023-02-12,High Amount,Low
F000385,C16876,2023-08-09,Multiple Transactions,High
F000386,C18112,2023-04-06,Location Mismatch,High
F000387,C02477,2023-05-04,High Amount,Medium
F000388,C16202,2023-09-28,Multiple Transactions,Medium
F000389,C16167,2023-04-17,Location Mismatch,Low
F000390,C18010,2023-03-21,Location Mismatch,High
F000391,C01489,2023-08-19,Location Mismatch,Low
F000392,C08830,2023-05-02,Location Mismatch,Low
F000393,C07859,2023-09-30,Multiple Transactions,Medium
F000394,C07851,2023-10-17,High Amount,High
F000395,C10802,2023-09-06,High Amount,Low
F000396,C06353,2023-09-02,Multiple Transactions,
F000397,C05428,2023-07-19,Location Mismatch,Medium
F000398,C04878,2023-03-04,High Amount,Low
F000399,C04336,2023-03-02,High Amount,
F000400,C13971,2023-11-21,High Amount,Low
F000401,C08603,2023-09-17,High Amount,Medium
F000402,C14586,2023-05-08,Multiple Transactions,High
F000403,C09032,2023-06-27,High Amount,High
F000404,C06388,2023-12-25,Location Mismatch,High
F000405,C14680,2023-08-02,Multiple Transactions,Low
F000406,C05992,2023-01-16,Multiple Transactions,High
F000407,C06149,2023-10-17,High Amount,Medium
F000408,C06459,2023-03-29,High Amount,High
F000409,C07658,2023-07-07,Location Mismatch,Medium
F000410,C02211,2023-09-05,High Amount,Low
F000411,C17189,2023-10-27,High Amount,Medium
F000412,C10365,2023-10-16,High Amount,High
F000413,C16132,2023-10-13,Multiple Transactions,Medium
F000414,C05172,2023-11-20,High Amount,Low
F000415,C19575,2023-03-27,Multiple Transactions,Medium
F000416,C15007,2023-04-19,High Amount,High
F000417,C18106,2023-03-08,Multiple Transactions,Medium
F000418,C11757,2023-05-04,Location Mismatch,Medium
F000419,C01926,2023-05-24,Multiple Transactions,Low
F000420,C17541,2023-10-01,Multiple Transactions,Medium
F000421,C19155,2023-05-27,High Amount,Medium
F000422,C05151,2023-09-22,Location Mismatch,Medium
F000423,C11068,2023-09-14,Location Mismatch,Medium
F000424,C18381,2023-03-10,Location Mismatch,High
F000425,C02772,2023-03-24,High Amount,Low
F000426,C15629,2023-04-07,Location Mismatch,High
F000427,C14227,2023-07-30,HighAmount,Medium
F000428,C03767,2023-09-18,Multiple Transactions,Low
F000429,C12797,2023-05-19,High Amount,Medium
F000430,C07213,2023-08-26,Location Mismatch,Medium
F000431,C17775,2023-11-03,Location Mismatch,Medium
F000432,C19117,2023-06-24,High Amount,Medium
F000433,C03814,2023-06-05,Location Mismatch,Medium
F000434,C02036,2023-07-26,High Amount,Medium
F000435,C15233,2023-04-15,Location Mismatch,High
F000436,C05455,2023-01-04,High Amount,High
F000437,C14855,2023-10-15,Location Mismatch,Low
F000438,C18048,2023-01-07,Multiple Transactions,Low
F000439,C10177,2023-02-13,Location Mismatch,Medium
F000440,C07881,2023-04-05,Location Mismatch,Low
F000441,C06649,2023-07-11,Multiple Transactions,High
F000442,C09412,2023-10-29,Location Mismatch,Medium
F000443,C19818,2023-10-26,Multiple Transactions,Medium
F000444,C14184,2023-03-31,HighAmount,High
F000445,C18608,2023-11-04,Multiple Transactions,High
F000446,C04247,2023-08-18,High Amount,High
F000447,C15406,2023-07-27,High Amount,Low
F000448,C08351,2023-03-03,Location Mismatch,Low
F000449,C07998,2023-11-03,Multiple Transactions,High
F000450,C02297,2023-11-12,Location Mismatch,Low
F000451,C06681,2023-01-11,High Amount,Low
F000452,C12160,2023-03-01,High Amount,
F000453,C12887,2023-12-21,High Amount,Medium
F000454,C05470,2023-03-14,Multiple Transactions,High
F000455,C18014,2023-10-28,High Amount,Low
F000456,C06505,2023-01-15,High Amount,Medium
F000457,C14562,2023-02-01,Location Mismatch,High
F000458,C16633,2023-03-18,Multiple Transactions,Medium
F000459,C13636,2023-03-12,High Amount,Low
F000460,C15125,2023-06-06,HighAmount,Low
F000461,C19722,2023-12-09,Location Mismatch,Medium
F000462,C10686,2023-10-03,Multiple Transactions,Medium
F000463,C06818,2023-03-18,Multiple Transactions,High
F000464,C17439,2023-12-25,High Amount,Low
F000465,C19886,2023-02-26,Location Mismatch,Medium
F000466,C08242,2023-10-03,High Amount,Medium
F000467,C07158,2023-10-10,High Amount,Medium
F000468,C09773,2023-06-21,Multiple Transactions,Low
F000469,C04441,2023-08-03,Multiple Transactions,Medium
F000470,C12748,2023-05-21,Location Mismatch,Medium
F000471,C00203,2023-05-09,Multiple Transactions,High
F000472,C17407,2023-01-11,High Amount,
F000473,C13707,2023-12-10,Multiple Transactions,Low
F000474,C12643,2023-02-15,High Amount,High
F000475,C19386,2023-06-16,Multiple Transactions,Low
F000476,C16340,2023-06-08,High Amount,High
F000477,C11787,2023-08-22,Multiple Transactions,High
F000478,C00985,2023-11-28,Multiple Transactions,Medium
F000479,C04250,2023-05-02,Location Mismatch,High
F000480,C08635,2023-06-15,Location Mismatch,High
F000481,C13897,2023-10-20,Location Mismatch,Low
F000482,C14559,2023-09-13,Multiple Transactions,Medium
F000483,C09479,2023-11-21,High Amount,Low
F000484,C19243,2023-04-11,High Amount,High
F000485,C17736,2023-09-17,Multiple Transactions,Low
F000486,C03407,2023-04-03,Location Mismatch,Medium
F000487,C05315,2023-11-13,High Amount,Medium
F000488,C11009,2023-11-03,Location Mismatch,Low
F000489,C13774,2023-11-08,Multiple Transactions,Low
F000490,C18854,2023-04-10,High Amount,Low
F000491,C03085,2023-06-16,Location Mismatch,Medium
F000492,C11691,2023-01-29,Multiple Transactions,Medium
F000493,C15648,2023-02-28,High Amount,Medium
F000494,C14174,2023-06-23,High Amount,High
F000495,C09742,2023-04-20,Multiple Transactions,High
F000496,C10234,2023-08-14,Location Mismatch,Low
F000497,C03857,2023-12-04,Multiple Transactions,Medium
F000498,C06654,2023-01-27,Multiple Transactions,High
F000499,C16969,2023-10-12,Location Mismatch,High
F000500,C04937,2023-09-09,Multiple Transactions,High
F000501,C01759,2023-09-12,Location Mismatch,Medium
F000502,C09106,2023-07-22,Multiple Transactions,High
F000503,C19261,2023-01-13,High Amount,High
F000504,C12781,2023-08-04,Location Mismatch,Low
F000505,C12983,2023-03-28,Multiple Transactions,
F000506,C11949,2023-02-09,Multiple Transactions,Medium
F000507,C17201,2023-12-27,Location Mismatch,High
F000508,C02782,2023-10-07,Location Mismatch,Medium
F000509,C04726,2023-02-28,Multiple Transactions,Low
F000510,C02709,2023-04-12,Multiple Transactions,Medium
F000511,C01687,2023-12-04,High Amount,Medium
F000512,C00313,2023-11-06,HighAmount,Low
F000513,C04255,2023-09-11,Multiple Transactions,Low
F000514,C02147,2023-10-02,Multiple Transactions,High
F000515,C07391,2023-05-24,HighAmount,High
F000516,C10600,2023-08-15,High Amount,Medium
F000517,C13761,2023-03-24,Multiple Transactions,Low
F000518,C16285,2023-02-08,High Amount,Medium
F000519,C08779,2023-11-22,HighAmount,Medium
F000520,C11551,2023-08-23,Multiple Transactions,High
F000521,C08065,2023-10-06,Multiple Transactions,Medium
F000522,C10392,2023-12-08,High Amount,Low
F000523,C03733,2023-02-27,High Amount,Low
F000524,C14739,2023-07-10,Location Mismatch,High
F000525,C19976,2023-04-04,High Amount,Low
F000526,C01207,2023-04-20,High Amount,Low
F000527,C08350,2023-03-30,Multiple Transactions,
F000528,C08533,2023-04-24,Location Mismatch,High
F000529,C06976,2023-02-04,Location Mismatch,
F000530,C18409,2023-07-20,High Amount,Medium
F000531,C06325,2023-04-13,Multiple Transactions,High
F000532,C19603,2023-06-14,High Amount,Low
F000533,C01736,2023-07-29,High Amount,Medium
F000534,C07304,2023-02-07,Multiple Transactions,Medium
F000535,C07856,2023-04-19,Location Mismatch,Medium
F000536,C14616,2023-06-01,Multiple Transactions,Low
F000537,C02193,2023-01-30,Location Mismatch,Medium
F000538,C13998,2023-03-10,High Amount,Medium
F000539,C07961,2023-09-07,Multiple Transactions,High
F000540,C09436,2023-07-11,Location Mismatch,Low
F000541,C07206,2023-10-31,High Amount,High
F000542,C06042,2023-05-17,High Amount,High
F000543,C16554,2023-06-03,Multiple Transactions,Medium
F000544,C03599,2023-12-16,Location Mismatch,High
F000545,C19925,2023-04-14,Multiple Transactions,Low
F000546,C16088,2023-11-12,Location Mismatch,Low
F000547,C14964,2023-11-15,High Amount,High
F000548,C07656,2023-05-19,Location Mismatch,Medium
F000549,C18000,2023-12-23,High Amount,Low
F000550,C10872,2023-02-11,Location Mismatch,Low
